Stationscode;Datum;"Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";Luftqualitätsindex
DEHE005;"'30.01.2018 02:00'";6;66;9;gut
DEHE005;"'30.01.2018 03:00'";6;61;11;gut
DEHE005;"'30.01.2018 04:00'";6;59;12;"sehr gut"
DEHE005;"'30.01.2018 05:00'";6;51;20;"sehr gut"
DEHE005;"'30.01.2018 06:00'";7;22;47;mäßig
DEHE005;"'30.01.2018 07:00'";7;9;67;mäßig
DEHE005;"'30.01.2018 08:00'";7;6;74;mäßig
DEHE005;"'30.01.2018 09:00'";8;8;96;mäßig
DEHE005;"'30.01.2018 10:00'";9;11;77;mäßig
DEHE005;"'30.01.2018 11:00'";9;15;70;mäßig
DEHE005;"'30.01.2018 12:00'";10;17;63;mäßig
DEHE005;"'30.01.2018 13:00'";10;24;67;mäßig
DEHE005;"'30.01.2018 14:00'";11;42;38;gut
DEHE005;"'30.01.2018 15:00'";11;46;39;gut
DEHE005;"'30.01.2018 16:00'";11;38;53;mäßig
DEHE005;"'30.01.2018 17:00'";11;33;48;mäßig
DEHE005;"'30.01.2018 18:00'";11;17;62;mäßig
DEHE005;"'30.01.2018 19:00'";11;9;74;mäßig
DEHE005;"'30.01.2018 20:00'";12;9;69;mäßig
DEHE005;"'30.01.2018 21:00'";13;6;68;mäßig
DEHE005;"'30.01.2018 22:00'";14;7;73;mäßig
DEHE005;"'30.01.2018 23:00'";14;6;63;mäßig
DEHE005;"'30.01.2018 24:00'";15;7;63;mäßig
DEHE005;"'31.01.2018 01:00'";16;6;55;mäßig
DEHE005;"'31.01.2018 02:00'";18;7;51;mäßig
DEHE005;"'31.01.2018 03:00'";19;9;45;mäßig
DEHE005;"'31.01.2018 04:00'";19;19;34;gut
DEHE005;"'31.01.2018 05:00'";19;29;25;gut
DEHE005;"'31.01.2018 06:00'";19;30;25;gut
DEHE005;"'31.01.2018 07:00'";19;28;30;gut
DEHE005;"'31.01.2018 08:00'";19;27;34;gut
DEHE005;"'31.01.2018 09:00'";18;28;38;gut
DEHE005;"'31.01.2018 10:00'";17;28;34;gut
DEHE005;"'31.01.2018 11:00'";16;31;31;gut
DEHE005;"'31.01.2018 12:00'";16;26;37;gut
DEHE005;"'31.01.2018 13:00'";15;41;27;gut
DEHE005;"'31.01.2018 14:00'";14;40;30;gut
DEHE005;"'31.01.2018 15:00'";14;36;39;gut
DEHE005;"'31.01.2018 16:00'";14;24;48;mäßig
DEHE005;"'31.01.2018 17:00'";14;29;31;gut
DEHE005;"'31.01.2018 18:00'";13;28;30;gut
DEHE005;"'31.01.2018 19:00'";13;21;40;gut
DEHE005;"'31.01.2018 20:00'";12;23;40;gut
DEHE005;"'31.01.2018 21:00'";11;35;27;gut
DEHE005;"'31.01.2018 22:00'";10;40;25;gut
DEHE005;"'31.01.2018 23:00'";9;59;23;gut
DEHE005;"'31.01.2018 24:00'";8;54;28;gut
DEHE005;"'01.02.2018 01:00'";7;61;20;gut
DEHE005;"'01.02.2018 02:00'";6;73;10;gut
DEHE005;"'01.02.2018 03:00'";5;74;10;gut
DEHE005;"'01.02.2018 04:00'";4;58;19;"sehr gut"
DEHE005;"'01.02.2018 05:00'";4;56;19;"sehr gut"
DEHE005;"'01.02.2018 06:00'";3;49;28;gut
DEHE005;"'01.02.2018 07:00'";4;26;54;mäßig
DEHE005;"'01.02.2018 08:00'";4;7;81;mäßig
DEHE005;"'01.02.2018 09:00'";4;9;79;mäßig
DEHE005;"'01.02.2018 10:00'";5;15;73;mäßig
DEHE005;"'01.02.2018 11:00'";6;19;77;mäßig
DEHE005;"'01.02.2018 12:00'";6;41;62;mäßig
DEHE005;"'01.02.2018 13:00'";6;50;35;gut
DEHE005;"'01.02.2018 14:00'";7;51;31;gut
DEHE005;"'01.02.2018 15:00'";7;41;58;mäßig
DEHE005;"'01.02.2018 16:00'";8;41;46;mäßig
DEHE005;"'01.02.2018 17:00'";8;41;41;mäßig
DEHE005;"'01.02.2018 18:00'";8;32;48;mäßig
DEHE005;"'01.02.2018 19:00'";9;33;45;mäßig
DEHE005;"'01.02.2018 20:00'";9;29;45;mäßig
DEHE005;"'01.02.2018 21:00'";9;33;38;gut
DEHE005;"'01.02.2018 22:00'";9;32;37;gut
DEHE005;"'01.02.2018 23:00'";10;28;40;gut
DEHE005;"'01.02.2018 24:00'";10;28;35;gut
DEHE005;"'02.02.2018 01:00'";10;28;31;gut
DEHE005;"'02.02.2018 02:00'";11;32;26;gut
DEHE005;"'02.02.2018 03:00'";12;29;27;gut
DEHE005;"'02.02.2018 04:00'";13;28;28;gut
DEHE005;"'02.02.2018 05:00'";14;25;31;gut
DEHE005;"'02.02.2018 06:00'";14;29;32;gut
DEHE005;"'02.02.2018 07:00'";15;23;40;gut
DEHE005;"'02.02.2018 08:00'";15;22;44;mäßig
DEHE005;"'02.02.2018 09:00'";15;22;44;mäßig
DEHE005;"'02.02.2018 10:00'";15;20;46;mäßig
DEHE005;"'02.02.2018 11:00'";15;22;42;mäßig
DEHE005;"'02.02.2018 12:00'";15;22;39;gut
DEHE005;"'02.02.2018 13:00'";15;26;39;gut
DEHE005;"'02.02.2018 14:00'";15;30;41;mäßig
DEHE005;"'02.02.2018 15:00'";15;27;40;gut
DEHE005;"'02.02.2018 16:00'";15;24;40;gut
DEHE005;"'02.02.2018 17:00'";14;23;39;gut
DEHE005;"'02.02.2018 18:00'";14;22;43;mäßig
DEHE005;"'02.02.2018 19:00'";14;17;48;mäßig
DEHE005;"'02.02.2018 20:00'";14;9;57;mäßig
DEHE005;"'02.02.2018 21:00'";14;16;44;mäßig
DEHE005;"'02.02.2018 22:00'";14;16;45;mäßig
DEHE005;"'02.02.2018 23:00'";14;11;49;mäßig
DEHE005;"'02.02.2018 24:00'";14;10;47;mäßig
DEHE005;"'03.02.2018 01:00'";14;13;43;mäßig
DEHE005;"'03.02.2018 02:00'";14;14;42;mäßig
DEHE005;"'03.02.2018 03:00'";13;13;42;mäßig
DEHE005;"'03.02.2018 04:00'";13;16;36;gut
DEHE005;"'03.02.2018 05:00'";13;23;29;gut
DEHE005;"'03.02.2018 06:00'";13;24;29;gut
DEHE005;"'03.02.2018 07:00'";13;20;30;gut
DEHE005;"'03.02.2018 08:00'";12;18;38;gut
DEHE005;"'03.02.2018 09:00'";12;11;48;mäßig
DEHE005;"'03.02.2018 10:00'";12;10;56;mäßig
DEHE005;"'03.02.2018 11:00'";12;26;40;gut
DEHE005;"'03.02.2018 12:00'";12;43;19;"sehr gut"
DEHE005;"'03.02.2018 13:00'";12;38;29;gut
DEHE005;"'03.02.2018 14:00'";11;42;30;gut
DEHE005;"'03.02.2018 15:00'";11;39;32;gut
DEHE005;"'03.02.2018 16:00'";11;37;32;gut
DEHE005;"'03.02.2018 17:00'";11;35;36;gut
DEHE005;"'03.02.2018 18:00'";11;31;38;gut
DEHE005;"'03.02.2018 19:00'";11;15;56;mäßig
DEHE005;"'03.02.2018 20:00'";12;11;62;mäßig
DEHE005;"'03.02.2018 21:00'";12;8;65;mäßig
DEHE005;"'03.02.2018 22:00'";13;9;58;mäßig
DEHE005;"'03.02.2018 23:00'";13;8;60;mäßig
DEHE005;"'03.02.2018 24:00'";14;8;59;mäßig
DEHE005;"'04.02.2018 01:00'";14;7;59;mäßig
DEHE005;"'04.02.2018 02:00'";15;6;49;mäßig
DEHE005;"'04.02.2018 03:00'";15;6;48;mäßig
DEHE005;"'04.02.2018 04:00'";15;5;46;mäßig
DEHE005;"'04.02.2018 05:00'";16;10;39;gut
DEHE005;"'04.02.2018 06:00'";16;11;37;gut
DEHE005;"'04.02.2018 07:00'";16;6;43;mäßig
DEHE005;"'04.02.2018 08:00'";16;5;42;mäßig
DEHE005;"'04.02.2018 09:00'";16;26;23;gut
DEHE005;"'04.02.2018 10:00'";16;34;18;"sehr gut"
DEHE005;"'04.02.2018 11:00'";16;34;18;"sehr gut"
DEHE005;"'04.02.2018 12:00'";16;33;19;"sehr gut"
DEHE005;"'04.02.2018 13:00'";16;37;18;"sehr gut"
DEHE005;"'04.02.2018 14:00'";16;41;15;"sehr gut"
DEHE005;"'04.02.2018 15:00'";16;42;14;"sehr gut"
DEHE005;"'04.02.2018 16:00'";17;39;15;"sehr gut"
DEHE005;"'04.02.2018 17:00'";17;34;19;"sehr gut"
DEHE005;"'04.02.2018 18:00'";17;29;24;gut
DEHE005;"'04.02.2018 19:00'";16;31;25;gut
DEHE005;"'04.02.2018 20:00'";16;36;24;gut
DEHE005;"'04.02.2018 21:00'";16;35;23;gut
DEHE005;"'04.02.2018 22:00'";15;38;21;gut
DEHE005;"'04.02.2018 23:00'";14;38;21;gut
DEHE005;"'04.02.2018 24:00'";14;38;19;"sehr gut"
DEHE005;"'05.02.2018 01:00'";13;39;17;"sehr gut"
DEHE005;"'05.02.2018 02:00'";13;38;17;"sehr gut"
DEHE005;"'05.02.2018 03:00'";12;39;16;"sehr gut"
DEHE005;"'05.02.2018 04:00'";12;39;15;"sehr gut"
DEHE005;"'05.02.2018 05:00'";12;33;21;gut
DEHE005;"'05.02.2018 06:00'";11;22;33;gut
DEHE005;"'05.02.2018 07:00'";11;8;52;mäßig
DEHE005;"'05.02.2018 08:00'";11;12;46;mäßig
DEHE005;"'05.02.2018 09:00'";11;10;50;mäßig
DEHE005;"'05.02.2018 10:00'";11;20;40;gut
DEHE005;"'05.02.2018 11:00'";11;28;31;gut
DEHE005;"'05.02.2018 12:00'";12;32;28;gut
DEHE005;"'05.02.2018 13:00'";12;35;35;gut
DEHE005;"'05.02.2018 14:00'";12;37;29;gut
DEHE005;"'05.02.2018 15:00'";12;41;33;gut
DEHE005;"'05.02.2018 16:00'";12;44;29;gut
DEHE005;"'05.02.2018 17:00'";12;38;30;gut
DEHE005;"'05.02.2018 18:00'";12;25;43;mäßig
DEHE005;"'05.02.2018 19:00'";13;26;39;gut
DEHE005;"'05.02.2018 20:00'";13;21;43;mäßig
DEHE005;"'05.02.2018 21:00'";13;33;33;gut
DEHE005;"'05.02.2018 22:00'";14;32;37;gut
DEHE005;"'05.02.2018 23:00'";14;40;29;gut
DEHE005;"'05.02.2018 24:00'";14;43;24;gut
DEHE005;"'06.02.2018 01:00'";15;45;21;gut
DEHE005;"'06.02.2018 02:00'";15;42;23;gut
DEHE005;"'06.02.2018 03:00'";15;41;23;gut
DEHE005;"'06.02.2018 04:00'";15;42;20;"sehr gut"
DEHE005;"'06.02.2018 05:00'";16;39;23;gut
DEHE005;"'06.02.2018 06:00'";16;30;31;gut
DEHE005;"'06.02.2018 07:00'";16;22;40;gut
DEHE005;"'06.02.2018 08:00'";17;16;49;mäßig
DEHE005;"'06.02.2018 09:00'";17;16;47;mäßig
DEHE005;"'06.02.2018 10:00'";17;22;41;mäßig
DEHE005;"'06.02.2018 11:00'";18;25;38;gut
DEHE005;"'06.02.2018 12:00'";18;26;45;mäßig
DEHE005;"'06.02.2018 13:00'";19;27;39;gut
DEHE005;"'06.02.2018 14:00'";19;25;40;gut
DEHE005;"'06.02.2018 15:00'";20;26;42;mäßig
DEHE005;"'06.02.2018 16:00'";21;22;63;mäßig
DEHE005;"'06.02.2018 17:00'";22;20;46;mäßig
DEHE005;"'06.02.2018 18:00'";22;13;56;mäßig
DEHE005;"'06.02.2018 19:00'";23;9;63;mäßig
DEHE005;"'06.02.2018 20:00'";23;10;60;mäßig
DEHE005;"'06.02.2018 21:00'";24;9;61;mäßig
DEHE005;"'06.02.2018 22:00'";24;13;54;mäßig
DEHE005;"'06.02.2018 23:00'";25;13;51;mäßig
DEHE005;"'06.02.2018 24:00'";25;12;51;mäßig
DEHE005;"'07.02.2018 01:00'";26;9;52;mäßig
DEHE005;"'07.02.2018 02:00'";26;13;43;mäßig
DEHE005;"'07.02.2018 03:00'";27;13;43;mäßig
DEHE005;"'07.02.2018 04:00'";28;13;40;gut
DEHE005;"'07.02.2018 05:00'";28;11;41;mäßig
DEHE005;"'07.02.2018 06:00'";29;10;42;mäßig
DEHE005;"'07.02.2018 07:00'";30;10;45;mäßig
DEHE005;"'07.02.2018 08:00'";31;11;51;mäßig
DEHE005;"'07.02.2018 09:00'";31;12;51;mäßig
DEHE005;"'07.02.2018 10:00'";32;15;49;mäßig
DEHE005;"'07.02.2018 11:00'";33;21;39;gut
DEHE005;"'07.02.2018 12:00'";34;28;40;gut
DEHE005;"'07.02.2018 13:00'";34;26;76;mäßig
DEHE005;"'07.02.2018 14:00'";35;27;57;mäßig
DEHE005;"'07.02.2018 15:00'";36;30;46;mäßig
DEHE005;"'07.02.2018 16:00'";36;29;41;mäßig
DEHE005;"'07.02.2018 17:00'";37;24;45;mäßig
DEHE005;"'07.02.2018 18:00'";38;17;54;mäßig
DEHE005;"'07.02.2018 19:00'";38;19;54;mäßig
DEHE005;"'07.02.2018 20:00'";39;17;53;mäßig
DEHE005;"'07.02.2018 21:00'";40;19;50;mäßig
DEHE005;"'07.02.2018 22:00'";40;22;45;mäßig
DEHE005;"'07.02.2018 23:00'";41;22;43;mäßig
DEHE005;"'07.02.2018 24:00'";42;25;39;mäßig
DEHE005;"'08.02.2018 01:00'";42;24;37;mäßig
DEHE005;"'08.02.2018 02:00'";43;22;38;mäßig
DEHE005;"'08.02.2018 03:00'";43;25;34;mäßig
DEHE005;"'08.02.2018 04:00'";44;27;31;mäßig
DEHE005;"'08.02.2018 05:00'";45;24;34;mäßig
DEHE005;"'08.02.2018 06:00'";45;17;43;mäßig
DEHE005;"'08.02.2018 07:00'";46;14;50;mäßig
DEHE005;"'08.02.2018 08:00'";46;16;65;mäßig
DEHE005;"'08.02.2018 09:00'";47;15;62;mäßig
DEHE005;"'08.02.2018 10:00'";47;18;50;mäßig
DEHE005;"'08.02.2018 11:00'";48;24;42;mäßig
DEHE005;"'08.02.2018 12:00'";49;31;36;mäßig
DEHE005;"'08.02.2018 13:00'";50;33;35;mäßig
DEHE005;"'08.02.2018 14:00'";50;33;36;mäßig
DEHE005;"'08.02.2018 15:00'";51;31;40;schlecht
DEHE005;"'08.02.2018 16:00'";52;27;44;schlecht
DEHE005;"'08.02.2018 17:00'";53;22;53;schlecht
DEHE005;"'08.02.2018 18:00'";54;18;54;schlecht
DEHE005;"'08.02.2018 19:00'";55;15;58;schlecht
DEHE005;"'08.02.2018 20:00'";57;14;62;schlecht
DEHE005;"'08.02.2018 21:00'";58;14;63;schlecht
DEHE005;"'08.02.2018 22:00'";59;14;58;schlecht
DEHE005;"'08.02.2018 23:00'";60;14;54;schlecht
DEHE005;"'08.02.2018 24:00'";61;15;53;schlecht
DEHE005;"'09.02.2018 01:00'";61;14;55;schlecht
DEHE005;"'09.02.2018 02:00'";62;12;52;schlecht
DEHE005;"'09.02.2018 03:00'";62;12;49;schlecht
DEHE005;"'09.02.2018 04:00'";62;13;47;schlecht
DEHE005;"'09.02.2018 05:00'";63;13;46;schlecht
DEHE005;"'09.02.2018 06:00'";64;14;48;schlecht
DEHE005;"'09.02.2018 07:00'";64;15;49;schlecht
DEHE005;"'09.02.2018 08:00'";65;15;51;schlecht
DEHE005;"'09.02.2018 09:00'";65;16;54;schlecht
DEHE005;"'09.02.2018 10:00'";65;16;57;schlecht
DEHE005;"'09.02.2018 11:00'";66;17;68;schlecht
DEHE005;"'09.02.2018 12:00'";66;18;69;schlecht
DEHE005;"'09.02.2018 13:00'";67;17;61;schlecht
DEHE005;"'09.02.2018 14:00'";67;15;59;schlecht
DEHE005;"'09.02.2018 15:00'";66;13;53;schlecht
DEHE005;"'09.02.2018 16:00'";66;12;55;schlecht
DEHE005;"'09.02.2018 17:00'";65;16;49;schlecht
DEHE005;"'09.02.2018 18:00'";64;17;50;schlecht
DEHE005;"'09.02.2018 19:00'";63;17;52;schlecht
DEHE005;"'09.02.2018 20:00'";62;21;44;schlecht
DEHE005;"'09.02.2018 21:00'";60;11;57;schlecht
DEHE005;"'09.02.2018 22:00'";59;9;61;schlecht
DEHE005;"'09.02.2018 23:00'";58;8;62;schlecht
DEHE005;"'09.02.2018 24:00'";57;8;55;schlecht
DEHE005;"'10.02.2018 01:00'";56;9;58;schlecht
DEHE005;"'10.02.2018 02:00'";56;9;49;schlecht
DEHE005;"'10.02.2018 03:00'";55;9;49;schlecht
DEHE005;"'10.02.2018 04:00'";55;9;50;schlecht
DEHE005;"'10.02.2018 05:00'";54;9;47;schlecht
DEHE005;"'10.02.2018 06:00'";53;8;42;schlecht
DEHE005;"'10.02.2018 07:00'";51;9;43;schlecht
DEHE005;"'10.02.2018 08:00'";50;10;46;mäßig
DEHE005;"'10.02.2018 09:00'";49;10;45;mäßig
DEHE005;"'10.02.2018 10:00'";48;12;43;mäßig
DEHE005;"'10.02.2018 11:00'";47;21;37;mäßig
DEHE005;"'10.02.2018 12:00'";45;25;36;mäßig
DEHE005;"'10.02.2018 13:00'";43;27;34;mäßig
DEHE005;"'10.02.2018 14:00'";41;21;41;mäßig
DEHE005;"'10.02.2018 15:00'";39;34;31;mäßig
DEHE005;"'10.02.2018 16:00'";38;37;30;mäßig
DEHE005;"'10.02.2018 17:00'";36;36;30;mäßig
DEHE005;"'10.02.2018 18:00'";35;33;36;gut
DEHE005;"'10.02.2018 19:00'";34;25;38;gut
DEHE005;"'10.02.2018 20:00'";33;20;39;gut
DEHE005;"'10.02.2018 21:00'";32;24;32;gut
DEHE005;"'10.02.2018 22:00'";31;22;34;gut
DEHE005;"'10.02.2018 23:00'";30;30;27;gut
DEHE005;"'10.02.2018 24:00'";29;46;22;gut
DEHE005;"'11.02.2018 01:00'";27;52;18;gut
DEHE005;"'11.02.2018 02:00'";26;47;19;gut
DEHE005;"'11.02.2018 03:00'";25;48;19;gut
DEHE005;"'11.02.2018 04:00'";23;43;21;gut
DEHE005;"'11.02.2018 05:00'";22;41;20;gut
DEHE005;"'11.02.2018 06:00'";21;41;21;gut
DEHE005;"'11.02.2018 07:00'";19;37;24;gut
DEHE005;"'11.02.2018 08:00'";18;37;26;gut
DEHE005;"'11.02.2018 09:00'";17;37;26;gut
DEHE005;"'11.02.2018 10:00'";16;37;25;gut
DEHE005;"'11.02.2018 11:00'";16;41;21;gut
DEHE005;"'11.02.2018 12:00'";15;40;24;gut
DEHE005;"'11.02.2018 13:00'";14;40;29;gut
DEHE005;"'11.02.2018 14:00'";14;48;20;"sehr gut"
DEHE005;"'11.02.2018 15:00'";13;39;30;gut
DEHE005;"'11.02.2018 16:00'";13;44;24;gut
DEHE005;"'11.02.2018 17:00'";13;37;31;gut
DEHE005;"'11.02.2018 18:00'";12;28;37;gut
DEHE005;"'11.02.2018 19:00'";12;29;36;gut
DEHE005;"'11.02.2018 20:00'";11;17;47;mäßig
DEHE005;"'11.02.2018 21:00'";10;23;45;mäßig
DEHE005;"'11.02.2018 22:00'";10;20;49;mäßig
DEHE005;"'11.02.2018 23:00'";10;17;51;mäßig
DEHE005;"'11.02.2018 24:00'";9;27;38;gut
DEHE005;"'12.02.2018 01:00'";9;25;39;gut
DEHE005;"'12.02.2018 02:00'";10;29;38;gut
DEHE005;"'12.02.2018 03:00'";9;45;21;gut
DEHE005;"'12.02.2018 04:00'";9;42;23;gut
DEHE005;"'12.02.2018 05:00'";9;41;24;gut
DEHE005;"'12.02.2018 06:00'";9;36;36;gut
DEHE005;"'12.02.2018 07:00'";9;30;48;mäßig
DEHE005;"'12.02.2018 08:00'";8;22;53;mäßig
DEHE005;"'12.02.2018 09:00'";8;27;49;mäßig
DEHE005;"'12.02.2018 10:00'";8;29;48;mäßig
DEHE005;"'12.02.2018 11:00'";7;36;38;gut
DEHE005;"'12.02.2018 12:00'";7;37;38;gut
DEHE005;"'12.02.2018 13:00'";7;44;33;gut
DEHE005;"'12.02.2018 14:00'";7;59;18;"sehr gut"
DEHE005;"'12.02.2018 15:00'";8;55;23;gut
DEHE005;"'12.02.2018 16:00'";8;51;30;gut
DEHE005;"'12.02.2018 17:00'";8;54;29;gut
DEHE005;"'12.02.2018 18:00'";8;40;46;mäßig
DEHE005;"'12.02.2018 19:00'";8;17;70;mäßig
DEHE005;"'12.02.2018 20:00'";9;15;73;mäßig
DEHE005;"'12.02.2018 21:00'";9;12;75;mäßig
DEHE005;"'12.02.2018 22:00'";9;9;77;mäßig
DEHE005;"'12.02.2018 23:00'";10;6;81;mäßig
DEHE005;"'12.02.2018 24:00'";10;5;73;mäßig
DEHE005;"'13.02.2018 01:00'";10;8;68;mäßig
DEHE005;"'13.02.2018 02:00'";11;16;50;mäßig
DEHE005;"'13.02.2018 03:00'";11;13;53;mäßig
DEHE005;"'13.02.2018 04:00'";12;9;53;mäßig
DEHE005;"'13.02.2018 05:00'";12;9;53;mäßig
DEHE005;"'13.02.2018 06:00'";13;7;56;mäßig
DEHE005;"'13.02.2018 07:00'";14;6;61;mäßig
DEHE005;"'13.02.2018 08:00'";15;8;63;mäßig
DEHE005;"'13.02.2018 09:00'";16;10;61;mäßig
DEHE005;"'13.02.2018 10:00'";16;14;59;mäßig
DEHE005;"'13.02.2018 11:00'";17;20;55;mäßig
DEHE005;"'13.02.2018 12:00'";18;24;54;mäßig
DEHE005;"'13.02.2018 13:00'";18;32;48;mäßig
DEHE005;"'13.02.2018 14:00'";19;52;31;gut
DEHE005;"'13.02.2018 15:00'";19;54;30;gut
DEHE005;"'13.02.2018 16:00'";19;59;26;gut
DEHE005;"'13.02.2018 17:00'";19;54;33;gut
DEHE005;"'13.02.2018 18:00'";19;35;50;mäßig
DEHE005;"'13.02.2018 19:00'";19;22;67;mäßig
DEHE005;"'13.02.2018 20:00'";19;14;81;mäßig
DEHE005;"'13.02.2018 21:00'";20;11;82;mäßig
DEHE005;"'13.02.2018 22:00'";20;19;67;mäßig
DEHE005;"'13.02.2018 23:00'";20;17;68;mäßig
DEHE005;"'13.02.2018 24:00'";20;12;73;mäßig
DEHE005;"'14.02.2018 01:00'";20;8;75;mäßig
DEHE005;"'14.02.2018 02:00'";20;8;67;mäßig
DEHE005;"'14.02.2018 03:00'";20;11;60;mäßig
DEHE005;"'14.02.2018 04:00'";20;17;51;mäßig
DEHE005;"'14.02.2018 05:00'";20;14;54;mäßig
DEHE005;"'14.02.2018 06:00'";20;9;60;mäßig
DEHE005;"'14.02.2018 07:00'";20;6;68;mäßig
DEHE005;"'14.02.2018 08:00'";19;6;78;mäßig
DEHE005;"'14.02.2018 09:00'";19;9;73;mäßig
DEHE005;"'14.02.2018 10:00'";19;12;73;mäßig
DEHE005;"'14.02.2018 11:00'";19;19;64;mäßig
DEHE005;"'14.02.2018 12:00'";19;32;46;mäßig
DEHE005;"'14.02.2018 13:00'";19;46;34;gut
DEHE005;"'14.02.2018 14:00'";20;54;26;gut
DEHE005;"'14.02.2018 15:00'";20;53;32;gut
DEHE005;"'14.02.2018 16:00'";20;57;29;gut
DEHE005;"'14.02.2018 17:00'";21;55;33;gut
DEHE005;"'14.02.2018 18:00'";21;37;52;mäßig
DEHE005;"'14.02.2018 19:00'";22;18;76;mäßig
DEHE005;"'14.02.2018 20:00'";23;24;68;mäßig
DEHE005;"'14.02.2018 21:00'";24;18;72;mäßig
DEHE005;"'14.02.2018 22:00'";25;14;74;mäßig
DEHE005;"'14.02.2018 23:00'";25;11;72;mäßig
DEHE005;"'14.02.2018 24:00'";25;11;67;mäßig
DEHE005;"'15.02.2018 01:00'";25;12;65;mäßig
DEHE005;"'15.02.2018 02:00'";26;14;61;mäßig
DEHE005;"'15.02.2018 03:00'";27;17;53;mäßig
DEHE005;"'15.02.2018 04:00'";28;29;38;gut
DEHE005;"'15.02.2018 05:00'";29;31;35;gut
DEHE005;"'15.02.2018 06:00'";29;21;48;mäßig
DEHE005;"'15.02.2018 07:00'";30;17;56;mäßig
DEHE005;"'15.02.2018 08:00'";31;10;71;mäßig
DEHE005;"'15.02.2018 09:00'";31;-;-;gut
DEHE005;"'15.02.2018 10:00'";31;20;54;mäßig
DEHE005;"'15.02.2018 11:00'";31;15;64;mäßig
DEHE005;"'15.02.2018 12:00'";31;17;62;mäßig
DEHE005;"'15.02.2018 13:00'";31;9;69;mäßig
DEHE005;"'15.02.2018 14:00'";31;11;66;mäßig
DEHE005;"'15.02.2018 15:00'";32;11;65;mäßig
DEHE005;"'15.02.2018 16:00'";33;6;70;mäßig
DEHE005;"'15.02.2018 17:00'";34;3;73;mäßig
DEHE005;"'15.02.2018 18:00'";34;0.6;77;mäßig
DEHE005;"'15.02.2018 19:00'";34;0.6;78;mäßig
DEHE005;"'15.02.2018 20:00'";34;0.6;74;mäßig
DEHE005;"'15.02.2018 21:00'";33;0.6;71;mäßig
DEHE005;"'15.02.2018 22:00'";32;0.6;68;mäßig
DEHE005;"'15.02.2018 23:00'";32;0.6;61;mäßig
DEHE005;"'15.02.2018 24:00'";33;0.6;59;mäßig
DEHE005;"'16.02.2018 01:00'";33;0.6;53;mäßig
DEHE005;"'16.02.2018 02:00'";33;0.6;56;mäßig
DEHE005;"'16.02.2018 03:00'";32;0.6;57;mäßig
DEHE005;"'16.02.2018 04:00'";32;0.6;54;mäßig
DEHE005;"'16.02.2018 05:00'";31;0.6;54;mäßig
DEHE005;"'16.02.2018 06:00'";31;0.6;58;mäßig
DEHE005;"'16.02.2018 07:00'";31;0.6;63;mäßig
DEHE005;"'16.02.2018 08:00'";31;0.6;60;mäßig
DEHE005;"'16.02.2018 09:00'";31;1;63;mäßig
DEHE005;"'16.02.2018 10:00'";31;2;62;mäßig
DEHE005;"'16.02.2018 11:00'";31;3;61;mäßig
DEHE005;"'16.02.2018 12:00'";31;3;64;mäßig
DEHE005;"'16.02.2018 13:00'";31;4;60;mäßig
DEHE005;"'16.02.2018 14:00'";31;5;58;mäßig
DEHE005;"'16.02.2018 15:00'";31;5;68;mäßig
DEHE005;"'16.02.2018 16:00'";31;6;72;mäßig
DEHE005;"'16.02.2018 17:00'";30;2;80;mäßig
DEHE005;"'16.02.2018 18:00'";31;0.6;87;mäßig
DEHE005;"'16.02.2018 19:00'";31;0.6;90;mäßig
DEHE005;"'16.02.2018 20:00'";31;0.6;76;mäßig
DEHE005;"'16.02.2018 21:00'";31;0.6;71;mäßig
DEHE005;"'16.02.2018 22:00'";31;0.6;69;mäßig
DEHE005;"'16.02.2018 23:00'";30;0.6;74;mäßig
DEHE005;"'16.02.2018 24:00'";30;0.6;67;mäßig
DEHE005;"'17.02.2018 01:00'";29;0.6;67;mäßig
DEHE005;"'17.02.2018 02:00'";28;0.6;61;mäßig
DEHE005;"'17.02.2018 03:00'";28;0.6;59;mäßig
DEHE005;"'17.02.2018 04:00'";27;0.6;53;mäßig
DEHE005;"'17.02.2018 05:00'";27;0.6;49;mäßig
DEHE005;"'17.02.2018 06:00'";27;11;31;gut
DEHE005;"'17.02.2018 07:00'";26;8;37;gut
DEHE005;"'17.02.2018 08:00'";25;12;35;gut
DEHE005;"'17.02.2018 09:00'";25;11;39;gut
DEHE005;"'17.02.2018 10:00'";24;12;41;mäßig
DEHE005;"'17.02.2018 11:00'";24;20;35;gut
DEHE005;"'17.02.2018 12:00'";24;19;37;gut
DEHE005;"'17.02.2018 13:00'";23;18;41;mäßig
DEHE005;"'17.02.2018 14:00'";23;23;37;gut
DEHE005;"'17.02.2018 15:00'";22;31;33;gut
DEHE005;"'17.02.2018 16:00'";22;32;37;gut
DEHE005;"'17.02.2018 17:00'";22;27;36;gut
DEHE005;"'17.02.2018 18:00'";21;30;31;gut
DEHE005;"'17.02.2018 19:00'";20;24;39;gut
DEHE005;"'17.02.2018 20:00'";19;18;47;mäßig
DEHE005;"'17.02.2018 21:00'";20;18;44;mäßig
DEHE005;"'17.02.2018 22:00'";20;18;45;mäßig
